scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_0409a2c96c,all,psi,persistence,181,4343,-2.39013811092823,1.3673906042375623
d3d_shot_0409a2c96c,ramp,ff_prime,tuned_transport,11,264,-0.40541941137625126,0.08973083298691989
d3d_shot_0409a2c96c,ramp,ff_prime,default_transport,11,264,-0.405440558129339,0.08973218312891605
d3d_shot_0409a2c96c,ramp,ff_prime,persistence,11,264,-0.405422780013835,0.08973104806197434
d3d_shot_0409a2c96c,ramp,psi,tuned_transport,11,264,-16.236840666034407,2.136754917570286
d3d_shot_0409a2c96c,ramp,psi,default_transport,11,264,-16.706209232453123,2.1949399186316687
d3d_shot_0409a2c96c,ramp,psi,persistence,11,264,-17.36994065107846,2.2772189975053423
d3d_shot_0409a2c96c,flat_top,ff_prime,tuned_transport,34,815,-0.24137865060347408,0.06345862642285274
d3d_shot_0409a2c96c,flat_top,ff_prime,default_transport,34,815,-0.2414092365286047,0.06346018995932547
d3d_shot_0409a2c96c,flat_top,ff_prime,persistence,34,815,-0.24133540682730503,0.06345641582366475
d3d_shot_0409a2c96c,flat_top,psi,tuned_transport,34,815,-29.62052977519222,3.189290886373917
d3d_shot_0409a2c96c,flat_top,psi,default_transport,34,815,-28.470792080965374,3.0695395960847134
d3d_shot_0409a2c96c,flat_top,psi,persistence,34,815,-34.9818691277761,3.7477028688408756
d3d_shot_029aa18a13,all,ff_prime,tuned_transport,237,5688,-0.9871460068073719,0.04644790930145854
d3d_shot_029aa18a13,all,ff_prime,default_transport,237,5688,-0.987746357626424,0.04646194200982364
d3d_shot_029aa18a13,all,ff_prime,persistence,237,5688,-0.9847680126412142,0.04639232563676017
d3d_shot_029aa18a13,all,psi,tuned_transport,237,5688,-2.1208730407520577,1.417654354074407
d3d_shot_029aa18a13,all,psi,default_transport,237,5688,-2.0964034695278255,1.4065390687887207
d3d_shot_029aa18a13,all,psi,persistence,237,5688,-3.072719400098558,1.8500298842921528
d3d_shot_029aa18a13,ramp,ff_prime,tuned_transport,42,1008,-1.1358437997438076,0.04505739517864138
d3d_shot_029aa18a13,ramp,ff_prime,default_transport,42,1008,-1.1359385408628775,0.045059393821071186
d3d_shot_029aa18a13,ramp,ff_prime,persistence,42,1008,-1.135848522450944,0.04505749480806269
d3d_shot_029aa18a13,ramp,psi,tuned_transport,42,1008,-11.402900364030883,2.2570880831635676
d3d_shot_029aa18a13,ramp,psi,default_transport,42,1008,-11.409320681403711,2.2582564568025565
d3d_shot_029aa18a13,ramp,psi,persistence,42,1008,-13.921147712468871,2.7153604157464595
